T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.0000	0.0000	0.0000	-2.0000	-0.8750	0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0000	0.0000	-2.0000	-0.8735	0.0000	0.0000	0.0000	0.0000	0.0000
0.0200	0.0000	0.0000	-2.0000	-0.8720	0.0000	0.0000	0.0000	0.0000	0.0000
0.0300	0.0000	0.0000	-2.0000	-0.8705	0.0000	0.0000	0.0000	0.0000	0.0000
0.0400	0.0000	0.0000	-2.0000	-0.8690	0.0000	0.0000	0.0000	0.0000	0.0000
0.0500	0.0000	0.0000	-2.0000	-0.8675	0.0000	0.0000	0.0000	0.0000	0.0000
0.0600	0.0000	0.0000	-2.0000	-0.8660	0.0000	0.0000	0.0000	0.0000	0.0000
0.0700	0.0000	0.0000	-2.0000	-0.8645	0.0000	0.0000	0.0000	0.0000	0.0000
0.0800	0.0000	0.0000	-2.0000	-0.8630	0.0000	0.0000	0.0000	0.0000	0.0000
0.0900	0.0000	0.0000	-2.0000	-0.8615	0.0000	0.0000	0.0000	0.0000	0.0000
0.1000	0.0000	0.0000	-2.0000	-0.8600	0.0000	0.0000	0.0000	0.0000	0.0000
0.1100	0.0000	0.0000	-2.0000	-0.8585	0.0000	0.0000	0.0000	0.0000	0.0000
0.1200	0.0000	0.0000	-2.0000	-0.8570	0.0000	0.0000	0.0000	0.0000	0.0000
0.1300	0.0000	0.0000	-2.0000	-0.8555	0.0000	0.0000	0.0000	0.0000	0.0000
0.1400	0.0000	0.0000	-2.0000	-0.8540	0.0000	0.0000	0.0000	0.0000	0.0000
0.1500	0.0000	0.0000	-2.0000	-0.8525	0.0000	0.0000	0.0000	0.0000	0.0000
0.1600	0.0000	0.0000	-2.0000	-0.8510	0.0000	0.0000	0.0000	0.0000	0.0000
0.1700	0.0000	0.0000	-2.0000	-0.8495	0.0000	0.0000	0.0000	0.0000	0.0000
0.1800	0.0000	0.0000	-2.0000	-0.8480	0.0000	0.0000	0.0000	0.0000	0.0000
0.1900	0.0000	0.0000	-2.0000	-0.8465	0.0000	0.0000	0.0000	0.0000	0.0000
0.2000	0.0000	0.0000	-2.0000	-0.8450	0.0000	0.0000	0.0000	0.0000	0.0000
0.2100	0.0000	0.0000	-2.0000	-0.8435	0.0000	0.0000	0.0000	0.0000	0.0000
0.2200	0.0000	0.0000	-2.0000	-0.8420	0.0000	0.0000	0.0000	0.0000	0.0000
0.2300	0.0000	0.0000	-2.0000	-0.8405	0.0000	0.0000	0.0000	0.0000	0.0000
0.2400	0.0000	0.0000	-2.0000	-0.8390	0.0000	0.0000	0.0000	0.0000	0.0000
0.2500	0.0000	0.0000	-2.0000	-0.8375	0.0000	0.0000	0.0000	0.0000	0.0000
0.2600	0.0000	0.0000	-2.0000	-0.8360	0.0000	0.0000	0.0000	0.0000	0.0000
0.2700	0.0000	0.0000	-2.0000	-0.8345	0.0000	0.0000	0.0000	0.0000	0.0000
0.2800	0.0000	0.0000	-2.0000	-0.8330	0.0000	0.0000	0.0000	0.0000	0.0000
0.2900	0.0000	0.0000	-2.0000	-0.8315	0.0000	0.0000	0.0000	0.0000	0.0000
0.3000	0.0000	0.0000	-2.0000	-0.8300	0.0000	0.0000	0.0000	0.0000	0.0000
0.3100	0.0000	0.0000	-2.0000	-0.8285	0.0000	0.0000	0.0000	0.0000	0.0000
0.3200	0.0000	0.0000	-2.0000	-0.8270	0.0000	0.0000	0.0000	0.0000	0.0000
0.3300	0.0000	0.0000	-2.0000	-0.8255	0.0000	0.0000	0.0000	0.0000	0.0000
0.3400	0.0000	0.0000	-2.0000	-0.8240	0.0000	0.0000	0.0000	0.0000	0.0000
0.3500	0.0000	0.0000	-2.0000	-0.8225	0.0000	0.0000	0.0000	0.0000	0.0000
0.3600	0.0000	0.0000	-2.0000	-0.8210	0.0000	0.0000	0.0000	0.0000	0.0000
0.3700	0.0000	0.0000	-2.0000	-0.8195	0.0000	0.0000	0.0000	0.0000	0.0000
0.3800	0.0000	0.0000	-2.0000	-0.8180	0.0000	0.0000	0.0000	0.0000	0.0000
0.3900	0.0000	0.0000	-2.0000	-0.8165	0.0000	0.0000	0.0000	0.0000	0.0000
0.4000	0.0000	0.0000	-2.0000	-0.8150	0.0000	0.0000	0.0000	0.0000	0.0000
0.4100	0.0000	0.0000	-2.0000	-0.8135	0.0000	0.0000	0.0000	0.0000	0.0000
0.4200	0.0000	0.0000	-2.0000	-0.8120	0.0000	0.0000	0.0000	0.0000	0.0000
0.4300	0.0000	0.0000	-2.0000	-0.8105	0.0000	0.0000	0.0000	0.0000	0.0000
0.4400	0.0000	0.0000	-2.0000	-0.8090	0.0000	0.0000	0.0000	0.0000	0.0000
0.4500	0.0000	0.0000	-2.0000	-0.8075	0.0000	0.0000	0.0000	0.0000	0.0000
0.4600	0.0000	0.0000	-2.0000	-0.8060	0.0000	0.0000	0.0000	0.0000	0.0000
0.4700	0.0000	0.0000	-2.0000	-0.8045	0.0000	0.0000	0.0000	0.0000	0.0000
0.4800	0.0000	0.0000	-2.0000	-0.8030	0.0000	0.0000	0.0000	0.0000	0.0000
0.4900	0.0000	0.0000	-2.0000	-0.8015	0.0000	0.0000	0.0000	0.0000	0.0000
0.5000	0.0000	0.0000	-2.0000	-0.8000	0.0000	0.0000	0.0000	0.0000	0.0000
0.5100	0.0000	0.0000	-2.0000	-0.7985	0.0000	0.0000	0.0000	0.0000	0.0000
0.5200	0.0000	0.0000	-2.0000	-0.7970	0.0000	0.0000	0.0000	0.0000	0.0000
0.5300	0.0000	0.0000	-2.0000	-0.7955	0.0000	0.0000	0.0000	0.0000	0.0000
0.5400	0.0000	0.0000	-2.0000	-0.7940	0.0000	0.0000	0.0000	0.0000	0.0000
0.5500	0.0000	0.0000	-2.0000	-0.7925	0.0000	0.0000	0.0000	0.0000	0.0000
0.5600	0.0000	0.0000	-2.0000	-0.7910	0.0000	0.0000	0.0000	0.0000	0.0000
0.5700	0.0000	0.0000	-2.0000	-0.7895	0.0000	0.0000	0.0000	0.0000	0.0000
0.5800	0.0000	0.0000	-2.0000	-0.7880	0.0000	0.0000	0.0000	0.0000	0.0000
0.5900	0.0000	0.0000	-2.0000	-0.7865	0.0000	0.0000	0.0000	0.0000	0.0000
0.6000	0.0000	0.0000	-2.0000	-0.7850	0.0000	0.0000	0.0000	0.0000	0.0000
0.6100	0.0000	0.0000	-2.0000	-0.7835	0.0000	0.0000	0.0000	0.0000	0.0000
0.6200	0.0000	0.0000	-2.0000	-0.7820	0.0000	0.0000	0.0000	0.0000	0.0000
0.6300	0.0000	0.0000	-2.0000	-0.7805	0.0000	0.0000	0.0000	0.0000	0.0000
0.6400	0.0000	0.0000	-2.0000	-0.7790	0.0000	0.0000	0.0000	0.0000	0.0000
0.6500	0.0000	0.0000	-2.0000	-0.7775	0.0000	0.0000	0.0000	0.0000	0.0000
0.6600	0.0000	0.0000	-2.0000	-0.7760	0.0000	0.0000	0.0000	0.0000	0.0000
0.6700	0.0000	0.0000	-2.0000	-0.7745	0.0000	0.0000	0.0000	0.0000	0.0000
0.6800	0.0000	0.0000	-2.0000	-0.7730	0.0000	0.0000	0.0000	0.0000	0.0000
0.6900	0.0000	0.0000	-2.0000	-0.7715	0.0000	0.0000	0.0000	0.0000	0.0000
0.7000	0.0000	0.0000	-2.0000	-0.7700	0.0000	0.0000	0.0000	0.0000	0.0000
0.7100	0.0000	0.0000	-2.0000	-0.7685	0.0000	0.0000	0.0000	0.0000	0.0000
0.7200	0.0000	0.0000	-2.0000	-0.7670	0.0000	0.0000	0.0000	0.0000	0.0000
0.7300	0.0000	0.0000	-2.0000	-0.7655	0.0000	0.0000	0.0000	0.0000	0.0000
0.7400	0.0000	0.0000	-2.0000	-0.7640	0.0000	0.0000	0.0000	0.0000	0.0000
0.7500	0.0000	0.0000	-2.0000	-0.7625	0.0000	0.0000	0.0000	0.0000	0.0000
0.7600	0.0000	0.0000	-2.0000	-0.7610	0.0000	0.0000	0.0000	0.0000	0.0000
0.7700	0.0000	0.0000	-2.0000	-0.7595	0.0000	0.0000	0.0000	0.0000	0.0000
0.7800	0.0000	0.0000	-2.0000	-0.7580	0.0000	0.0000	0.0000	0.0000	0.0000
0.7900	0.0000	0.0000	-2.0000	-0.7565	0.0000	0.0000	0.0000	0.0000	0.0000
0.8000	0.0000	0.0000	-2.0000	-0.7550	0.0000	0.0000	0.0000	0.0000	0.0000
0.8100	0.0000	0.0000	-2.0000	-0.7535	0.0000	0.0000	0.0000	0.0000	0.0000
0.8200	0.0000	0.0000	-2.0000	-0.7520	0.0000	0.0000	0.0000	0.0000	0.0000
